sending time (ms)	delta sending time (ms)	payload size	payload digest
775119	1236	5127	pavi 3:20VYFS4D7Y7NU
776330	1211	5127	pavi 4:TX3L8ES59P3PM
777553	1223	5127	pavi 5:VA7V25VZC32GO
778769	1216	5127	pavi 6:2YH04F5SBJTYO
780384	1615	5127	pavi 7:FWH9MVQQR4A13
781565	1181	5127	pavi 8:HVH282HHATEMN
782782	1217	5127	pavi 9:AZG5NBYIS9P0N
min:	1181		
max:	1615		
avg:	1264		
			
sending time (ms)	delta sending time (ms)	payload size	payload digest
799251		10247	pavi 0:LX6QBY5HQG496
800750	1499	10247	pavi 1:NH5KV9I0B93OV
802144	1394	10247	pavi 2:B5FEJ8DNM484V
803592	1448	10247	pavi 3:K3PA0DLPZIWHC
805170	1578	10247	pavi 4:798EYB7L1M4PB
806631	1461	10247	pavi 5:NVM9RS6GG0MTZ
808040	1409	10247	pavi 6:4IYJ0FP903RXB
809462	1422	10247	pavi 7:121GNL4S6QDDZ
810903	1441	10247	pavi 8:YHD7W5XFKCTQD
812311	1408	10247	pavi 9:85JMLX0QRH8YK
min:	1394		
max:	1578		
avg:	1445		
			
sending time (ms)	delta sending time (ms)	payload size	payload digest
830403		20487	pavi 0:LDZR4M1KS64HE
832221	1818	20487	pavi 1:39720WNDCT3QH
834064	1843	20487	pavi 2:Q3MQ6GUC13ZQE
836051	1987	20487	pavi 3:UUGUYFBK3FGGP
837882	1831	20487	pavi 4:B19YI98UTPWU6
839848	1966	20487	pavi 5:6UTUVK20M3DTI
841648	1800	20487	pavi 6:IKC9E7WZRNWBV
843483	1835	20487	pavi 7:669J3XL2CYF91
846793	3310	20487	pavi 8:CCR90OKT7F92Y
849719	2926	20487	pavi 9:Z1FHZ402V7B69
min:	1800		
max:	3310		
avg:	2187		
			
sending time (ms)	delta sending time (ms)	payload size	payload digest
876936		40967	pavi 0:5WM59HACN37K0
879588	2652	40967	pavi 1:QFWMKUT2MQM2V
882295	2707	40967	pavi 2:AI3DI61NRXKHB
891253	8958	40967	pavi 3:L9NVZIR782XWF
900352	9099	40967	pavi 4:YYZ77I7EV2T4T
907538	7186	40967	pavi 5:JZ1N727FPRQ0P
911894	4356	40967	pavi 6:NOZVJ4PQK311M
917028	5134	40967	pavi 7:B6RQPFGCX44EJ
921333	4305	40967	pavi 8:P2NME7GGBXU6E
926259	4926	40967	pavi 9:IN7NHYM5FB9CA
min:	2707		
max:	9099		
avg:	5834		
			
sending time (ms)	delta sending time (ms)	payload size	payload digest
963989		81927	pavi 0:9JWNP61NR5W8K
968609	4620	81927	pavi 1:ZJUAIXCYD2TKZ
1003356	34747	81927	pavi 2:Z8AZJ9O230PW8
1017269	13913	81927	pavi 3:2DHLIOAR2PM3J
1025584	8315	81927	pavi 4:6VFX1E0ROO6AP
1034246	8662	81927	pavi 5:7U49HC28N4PCS
1043514	9268	81927	pavi 6:3NJCUUV90X1X3
1052400	8886	81927	pavi 7:MKWBTUZ176OGU
1061596	9196	81927	pavi 8:760NBP3WWV53G
1070983	9387	81927	pavi 9:10623V8AZZMGA
min:	8315		
max:	34747		
avg:	12797		
			
sending time (ms)	delta sending time (ms)	payload size	payload digest
1142512		163847	pavi 0:2O2SO33SI8A96
1221251	78739	163847	pavi 1:KQ75HO10ZW8HU
1238883	17632	163847	pavi 2:I6CX4HWRA41S1
1256886	18003	163847	pavi 3:U9F1R41YEFG6Q
1274390	17504	163847	pavi 4:YDB87EPCZFD3F
1292679	18289	163847	pavi 5:6NL9Z9Q876MFL
1310800	18121	163847	pavi 6:50EAOIVIXSHFN
1328425	17625	163847	pavi 7:KG38B14E2ZZBK
1347205	18780	163847	pavi 8:PSF31UF8E4MYH
1365593	18388	163847	pavi 9:4HSKBO81TAJJW
min:	17504		
max:	18780		
avg:	18043		
